split,index,mapping,axis,angles,bloch_q0,fidelity,observable_error,passed
train,1,centered_full,rx,"[-1.0471975511965979, 0.6283185307179585]","[0.0, 0.8660254037844387, 0.5]",1.0,1.1102230246251565e-16,True
train,1,centered_full,rz,"[-1.0471975511965979, 0.6283185307179585]","[0.0, 1.1102230246251565e-16, 1.0000000000000002]",1.0,2.220446049250313e-16,True
train,1,centered_full,h_rz,"[-1.0471975511965979, 0.6283185307179585]","[0.4999999999999996, -0.8660254037844382, 0.0]",0.9999999999999991,5.551115123125783e-16,True
train,1,centered_half,ry,"[-0.5235987755982989, 0.31415926535897926]","[-0.49999999999999994, 1.1622647289044608e-16, 0.8660254037844387]",1.0000000000000004,1.1622647289044608e-16,True
train,1,centered_half,rx,"[-0.5235987755982989, 0.31415926535897926]","[0.0, 0.5000000000000003, 0.8660254037844387]",1.0,3.3306690738754696e-16,True
train,1,centered_half,rz,"[-0.5235987755982989, 0.31415926535897926]","[0.0, 1.1102230246251565e-16, 1.0000000000000002]",1.0000000000000004,2.220446049250313e-16,True
train,1,centered_half,h_rz,"[-0.5235987755982989, 0.31415926535897926]","[0.8660254037844383, -0.4999999999999999, 0.0]",0.9999999999999998,3.3306690738754696e-16,True
train,1,positive_half,ry,"[1.0471975511965976, 1.8849555921538759]","[0.8660254037844383, 1.1102230246251565e-16, 0.5000000000000001]",1.0,3.3306690738754696e-16,True
train,1,positive_half,rx,"[1.0471975511965976, 1.8849555921538759]","[0.0, -0.8660254037844385, 0.5000000000000001]",1.0,1.1102230246251565e-16,True
train,1,positive_half,rz,"[1.0471975511965976, 1.8849555921538759]","[0.0, 2.220446049250313e-16, 0.9999999999999999]",1.0,2.220446049250313e-16,True
train,1,positive_half,h_rz,"[1.0471975511965976, 1.8849555921538759]","[0.4999999999999998, 0.866025403784438, 0.0]",0.9999999999999991,5.551115123125783e-16,True
train,2,centered_full,ry,"[1.0471975511965974, -1.8849555921538759]","[0.8660254037844383, 1.6653345369377348e-16, 0.5000000000000002]",0.9999999999999998,2.220446049250313e-16,True
train,2,centered_full,rx,"[1.0471975511965974, -1.8849555921538759]","[0.0, -0.8660254037844384, 0.5000000000000002]",1.0,1.1102230246251565e-16,True
train,2,centered_full,rz,"[1.0471975511965974, -1.8849555921538759]","[0.0, 1.6653345369377348e-16, 1.0]",1.0,1.6653345369377348e-16,True
train,2,centered_full,h_rz,"[1.0471975511965974, -1.8849555921538759]","[0.4999999999999998, 0.866025403784438, 0.0]",0.9999999999999991,5.551115123125783e-16,True
train,2,centered_half,ry,"[0.5235987755982987, -0.9424777960769379]","[0.4999999999999997, 1.3877787807814457e-16, 0.8660254037844388]",1.0,1.3877787807814457e-16,True
train,2,centered_half,rx,"[0.5235987755982987, -0.9424777960769379]","[0.0, -0.49999999999999967, 0.8660254037844388]",1.0,1.6653345369377348e-16,True
