state,basis,shots,seed,count_00,count_01,count_10,count_11,p_equal,correlation,total_variation_distance,elapsed_seconds
bell,X,1000,46,477,0,0,523,1.0,1.0,0.02300000000000002,0.18497385599766858
bell,X,10000,42,4947,0,0,5053,1.0,1.0,0.005299999999999999,1.79967885199585
bell,X,10000,43,4966,0,0,5034,1.0,1.0,0.0033999999999999864,2.138065495004412
bell,X,10000,44,5011,0,0,4989,1.0,1.0,0.0010999999999999899,1.8174154279986396
bell,X,10000,45,5032,0,0,4968,1.0,1.0,0.0031999999999999806,1.5839077199998428
bell,X,10000,46,4913,0,0,5087,1.0,1.0,0.008700000000000013,1.7661226600030204
mixture,Z,100,42,55,0,0,45,1.0,1.0,0.05000000000000002,0.03367808799521299
mixture,Z,100,43,43,0,0,57,1.0,1.0,0.06999999999999998,0.009563441002683248
mixture,Z,100,44,50,0,0,50,1.0,1.0,0.0,0.009677968002506532
mixture,Z,100,45,52,0,0,48,1.0,1.0,0.020000000000000018,0.008494292000250425
mixture,Z,100,46,50,0,0,50,1.0,1.0,0.0,0.007485351998184342
mixture,Z,1000,42,487,0,0,513,1.0,1.0,0.013000000000000012,0.07961911500024144
mixture,Z,1000,43,529,0,0,471,1.0,1.0,0.029000000000000026,0.08408555100322701
mixture,Z,1000,44,497,0,0,503,1.0,1.0,0.0030000000000000027,0.14244839100138051
mixture,Z,1000,45,509,0,0,491,1.0,1.0,0.009000000000000008,0.11661130499851424
mixture,Z,1000,46,523,0,0,477,1.0,1.0,0.02300000000000002,0.0774010039967834
mixture,Z,10000,42,4909,0,0,5091,1.0,1.0,0.009099999999999997,0.8906011639992357
mixture,Z,10000,43,5089,0,0,4911,1.0,1.0,0.008900000000000019,0.8228689170064172
mixture,Z,10000,44,4990,0,0,5010,1.0,1.0,0.0010000000000000009,1.0141072010010248
mixture,Z,10000,45,5025,0,0,4975,1.0,1.0,0.0024999999999999745,0.9168666369951097
mixture,Z,10000,46,5056,0,0,4944,1.0,1.0,0.005600000000000022,0.8627047230038443
mixture,X,100,42,27,28,24,21,0.48,-0.04000000000000001,0.05000000000000003,0.010805612997501157
mixture,X,100,43,21,21,24,34,0.55,0.10000000000000003,0.08999999999999991,0.01300168500165455
mixture,X,100,44,32,23,18,27,0.5900000000000001,0.18000000000000002,0.09000000000000001,0.012407690999680199
mixture,X,100,45,26,29,17,28,0.54,0.08000000000000004,0.08000000000000011,0.011759036999137606
mixture,X,100,46,29,24,20,27,0.56,0.12,0.06,0.07959800599928712
mixture,X,1000,42,230,271,263,236,0.46599999999999997,-0.06800000000000006,0.034000000000000016,0.14012510499742348
mixture,X,1000,43,260,230,232,278,0.538,0.07600000000000001,0.038000000000000006,0.14479821699933382
mixture,X,1000,44,276,248,223,253,0.529,0.058000000000000024,0.029000000000000012,0.12109953099570703
mixture,X,1000,45,253,248,253,246,0.499,-0.0020000000000000018,0.006000000000000005,0.2808026759958011
mixture,X,1000,46,245,259,232,264,0.509,0.017999999999999988,0.023000000000000007,0.12071151800046209
mixture,X,10000,42,2450,2580,2497,2473,0.49229999999999996,-0.015400000000000053,0.007999999999999896,1.282925981999142
mixture,X,10000,43,2507,2476,2459,2558,0.5065,0.013000000000000012,0.006500000000000006,1.4821534209986567
mixture,X,10000,44,2550,2444,2461,2545,0.5095000000000001,0.01899999999999999,0.009499999999999995,1.3832462240025052
mixture,X,10000,45,2541,2498,2491,2470,0.5011,0.0022000000000000075,0.004099999999999895,1.3693191630009096
mixture,X,10000,46,2393,2514,2520,2573,0.4966,-0.006800000000000028,0.010700000000000098,1.231473117004498
