state,basis,shots,seed,count_00,count_01,count_10,count_11,p_equal,correlation,total_variation_distance,elapsed_seconds
bell,Z,10000,43,4966,0,0,5034,1.0,1.0,0.0033999999999999864,1.4446843119949335
bell,Z,10000,44,5011,0,0,4989,1.0,1.0,0.0010999999999999899,1.4548723920015618
bell,Z,10000,45,5032,0,0,4968,1.0,1.0,0.0031999999999999806,1.4496565220033517
bell,Z,10000,46,4913,0,0,5087,1.0,1.0,0.008700000000000013,1.4649496259953594
bell,X,100,42,51,0,0,49,1.0,1.0,0.010000000000000009,0.015375643997685984
bell,X,100,43,45,0,0,55,1.0,1.0,0.05000000000000002,0.015119140000024345
bell,X,100,44,50,0,0,50,1.0,1.0,3.3306690738754696e-16,0.015211498001008295
bell,X,100,45,43,0,0,57,1.0,1.0,0.06999999999999998,0.015344774001277983
bell,X,100,46,49,0,0,51,1.0,1.0,0.010000000000000009,0.0152760990022216
bell,X,1000,42,493,0,0,507,1.0,1.0,0.007000000000000006,0.15046716999495402
bell,X,1000,43,492,0,0,508,1.0,1.0,0.008000000000000007,0.14931998599786311
bell,X,1000,44,499,0,0,501,1.0,1.0,0.0010000000000000009,0.15033270300045842
bell,X,1000,45,506,0,0,494,1.0,1.0,0.006000000000000005,0.15017285700014327
bell,X,1000,46,477,0,0,523,1.0,1.0,0.02300000000000002,0.15020564800215652
bell,X,10000,42,4947,0,0,5053,1.0,1.0,0.005299999999999999,1.5022237270022742
bell,X,10000,43,4966,0,0,5034,1.0,1.0,0.0033999999999999864,1.4984957869965
bell,X,10000,44,5011,0,0,4989,1.0,1.0,0.0010999999999999899,1.4824722670018673
bell,X,10000,45,5032,0,0,4968,1.0,1.0,0.0031999999999999806,1.4865242080049939
bell,X,10000,46,4913,0,0,5087,1.0,1.0,0.008700000000000013,1.4861516329983715
mixture,Z,100,42,55,0,0,45,1.0,1.0,0.05000000000000002,0.019885945999703836
mixture,Z,100,43,43,0,0,57,1.0,1.0,0.06999999999999998,0.014099860003625508
mixture,Z,100,44,50,0,0,50,1.0,1.0,0.0,0.013873531002900563
mixture,Z,100,45,52,0,0,48,1.0,1.0,0.020000000000000018,0.013818810999509878
mixture,Z,100,46,50,0,0,50,1.0,1.0,0.0,0.014017214001796674
mixture,Z,1000,42,487,0,0,513,1.0,1.0,0.013000000000000012,0.13642438199894968
mixture,Z,1000,43,529,0,0,471,1.0,1.0,0.029000000000000026,0.1366448879998643
mixture,Z,1000,44,497,0,0,503,1.0,1.0,0.0030000000000000027,0.13720558900240576
mixture,Z,1000,45,509,0,0,491,1.0,1.0,0.009000000000000008,0.1358525309988181
mixture,Z,1000,46,523,0,0,477,1.0,1.0,0.02300000000000002,0.1349048150004819
mixture,Z,10000,42,4909,0,0,5091,1.0,1.0,0.009099999999999997,1.3453231909952592
mixture,Z,10000,43,5089,0,0,4911,1.0,1.0,0.008900000000000019,1.3518663040013053
mixture,Z,10000,44,4990,0,0,5010,1.0,1.0,0.0010000000000000009,1.3517564420035342
mixture,Z,10000,45,5025,0,0,4975,1.0,1.0,0.0024999999999999745,1.3496583710002596
mixture,Z,10000,46,5056,0,0,4944,1.0,1.0,0.005600000000000022,1.3543188639960135
mixture,X,100,42,27,28,24,21,0.48,-0.04000000000000001,0.05000000000000003,0.014980164996813983
mixture,X,100,43,21,21,24,34,0.55,0.10000000000000003,0.08999999999999991,0.014804795995587483
mixture,X,100,44,32,23,18,27,0.5900000000000001,0.18000000000000002,0.09000000000000001,0.01470650199917145
mixture,X,100,45,26,29,17,28,0.54,0.08000000000000004,0.08000000000000011,0.014358058004290797
mixture,X,100,46,29,24,20,27,0.56,0.12,0.06,0.0147492100004456
mixture,X,1000,42,230,271,263,236,0.46599999999999997,-0.06800000000000006,0.034000000000000016,0.14247528300620615
mixture,X,1000,43,260,230,232,278,0.538,0.07600000000000001,0.038000000000000006,0.14305121100187534
mixture,X,1000,44,276,248,223,253,0.529,0.058000000000000024,0.029000000000000012,0.1433785330009414
mixture,X,1000,45,253,248,253,246,0.499,-0.0020000000000000018,0.006000000000000005,0.14242973799991887
mixture,X,1000,46,245,259,232,264,0.509,0.017999999999999988,0.023000000000000007,0.14268430800439091
mixture,X,10000,42,2450,2580,2497,2473,0.49229999999999996,-0.015400000000000053,0.007999999999999896,1.4228744870051742
mixture,X,10000,43,2507,2476,2459,2558,0.5065,0.013000000000000012,0.006500000000000006,1.4261696329995175
mixture,X,10000,44,2550,2444,2461,2545,0.5095000000000001,0.01899999999999999,0.009499999999999995,1.4260207370025455
mixture,X,10000,45,2541,2498,2491,2470,0.5011,0.0022000000000000075,0.004099999999999895,1.4264975230034906
mixture,X,10000,46,2393,2514,2520,2573,0.4966,-0.006800000000000028,0.010700000000000098,1.4536366059983266
